,Store,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Day_of_Month,Month,DayOfYear,WeekOfYear,Quarter,WeekDay,DayCount,Weekly_Sales_prev_yr,Weekly_Sales_prev_yr_1,Weekly_Sales_prev_week,Weekly_Sales,GBM_Pred
53,1,36.39,3.022,0.0,0.0,0.0,0.0,0.0,212.9367046,7.742,6,2,37,5,1,6,734174,1643690.9,1641957.44,1606629.58,1649614.93,1654528.13704
54,1,57.36,3.045,0.0,0.0,0.0,0.0,0.0,213.2478853,7.742,13,2,44,6,1,6,734181,1641957.44,1611968.17,1649614.93,1686842.78,1686841.06883
55,1,62.9,3.065,0.0,0.0,0.0,0.0,0.0,213.535609,7.742,20,2,51,7,1,6,734188,1611968.17,1409727.59,1686842.78,1456800.28,1456798.39018
56,1,59.58,3.288,0.0,0.0,0.0,0.0,0.0,213.8233327,7.742,27,2,58,8,1,6,734195,1409727.59,1554806.68,1456800.28,1636263.41,1636248.94089
57,1,53.56,3.459,0.0,0.0,0.0,0.0,0.0,214.1110564,7.742,6,3,65,9,1,6,734202,1554806.68,1439541.59,1636263.41,1553191.63,1553195.42813
58,1,62.76,3.488,0.0,0.0,0.0,0.0,0.0,214.3627114,7.742,13,3,72,10,1,6,734209,1439541.59,1472515.79,1553191.63,1576818.06,1576830.62469
59,1,69.97,3.473,0.0,0.0,0.0,0.0,0.0,214.5999389,7.742,20,3,79,11,1,6,734216,1472515.79,1404429.92,1576818.06,1541102.38,1484378.20187
60,1,59.17,3.524,0.0,0.0,0.0,0.0,0.0,214.8371664,7.682,27,3,86,12,1,6,734223,1404429.92,1594968.28,1541102.38,1495064.75,1574145.1972
61,1,67.84,3.622,0.0,0.0,0.0,0.0,0.0,215.0743939,7.682,3,4,93,13,2,6,734230,1594968.28,1545418.53,1495064.75,1614259.35,1569083.90755
62,1,71.27,3.743,0.0,0.0,0.0,0.0,0.0,215.2918561,7.682,10,4,100,14,2,6,734237,1545418.53,1466058.28,1614259.35,1559889.0,1559893.90509
63,1,72.99,3.807,0.0,0.0,0.0,0.0,0.0,215.4599053,7.682,17,4,107,15,2,6,734244,1466058.28,1391256.12,1559889.0,1564819.81,1564818.82213
64,1,72.03,3.81,0.0,0.0,0.0,0.0,0.0,215.6279544,7.682,24,4,114,16,2,6,734251,1391256.12,1425100.71,1564819.81,1455090.69,1455093.56904
65,1,64.61,3.906,0.0,0.0,0.0,0.0,0.0,215.7960035,7.682,1,5,121,17,2,6,734258,1425100.71,1603955.12,1455090.69,1629391.28,1654483.76661
66,1,75.64,3.899,0.0,0.0,0.0,0.0,0.0,215.9640526,7.682,8,5,128,18,2,6,734265,1603955.12,1494251.5,1629391.28,1604775.58,1604756.5508
67,1,67.63,3.907,0.0,0.0,0.0,0.0,0.0,215.7339202,7.682,15,5,135,19,2,6,734272,1494251.5,1399662.07,1604775.58,1428218.27,1515979.52851
68,1,77.72,3.786,0.0,0.0,0.0,0.0,0.0,215.5037878,7.682,22,5,142,20,2,6,734279,1399662.07,1432069.95,1428218.27,1466046.67,1466017.70399
69,1,83.0,3.699,0.0,0.0,0.0,0.0,0.0,215.2736553,7.682,29,5,149,21,2,6,734286,1432069.95,1615524.71,1466046.67,1635078.41,1635087.58533
70,1,83.13,3.648,0.0,0.0,0.0,0.0,0.0,215.0435229,7.682,5,6,156,22,2,6,734293,1615524.71,1542561.09,1635078.41,1588948.32,1574272.36027
71,1,86.41,3.637,0.0,0.0,0.0,0.0,0.0,214.9980596,7.682,12,6,163,23,2,6,734300,1542561.09,1503284.06,1588948.32,1532114.86,1532135.42453
72,1,83.58,3.594,0.0,0.0,0.0,0.0,0.0,215.0910982,7.682,19,6,170,24,2,6,734307,1503284.06,1422711.6,1532114.86,1438830.15,1438822.67278
73,1,85.55,3.524,0.0,0.0,0.0,0.0,0.0,215.1841368,7.962,26,6,177,25,2,6,734314,1422711.6,1492418.14,1438830.15,1488538.09,1488543.18296
74,1,85.83,3.48,0.0,0.0,0.0,0.0,0.0,215.2771754,7.962,3,7,184,26,3,6,734321,1492418.14,1546074.18,1488538.09,1534849.64,1534842.56221
75,1,88.54,3.575,0.0,0.0,0.0,0.0,0.0,215.3611087,7.962,10,7,191,27,3,6,734328,1546074.18,1448938.92,1534849.64,1455119.97,1495915.00572
76,1,85.77,3.651,0.0,0.0,0.0,0.0,0.0,215.4222784,7.962,17,7,198,28,3,6,734335,1448938.92,1385065.2,1455119.97,1396926.82,1483176.20674
77,1,86.83,3.682,0.0,0.0,0.0,0.0,0.0,215.4834482,7.962,24,7,205,29,3,6,734342,1385065.2,1371986.6,1396926.82,1352219.79,1352209.91378
78,1,91.65,3.684,0.0,0.0,0.0,0.0,0.0,215.544618,7.962,31,7,212,30,3,6,734349,1371986.6,1605491.78,1352219.79,1624383.75,1461483.84767
79,1,90.76,3.638,0.0,0.0,0.0,0.0,0.0,215.6057878,7.962,7,8,219,31,3,6,734356,1605491.78,1508237.76,1624383.75,1525147.09,1558628.24824
80,1,89.94,3.554,0.0,0.0,0.0,0.0,0.0,215.6693107,7.962,14,8,226,32,3,6,734363,1508237.76,1513080.49,1525147.09,1530761.43,1530766.84305
81,1,87.96,3.523,0.0,0.0,0.0,0.0,0.0,215.7332258,7.962,21,8,233,33,3,6,734370,1513080.49,1449142.92,1530761.43,1464693.46,1464722.86067
82,1,87.83,3.533,0.0,0.0,0.0,0.0,0.0,215.7971409,7.962,28,8,240,34,3,6,734377,1449142.92,1540163.53,1464693.46,1550229.22,1557672.21277
83,1,76.0,3.546,0.0,0.0,0.0,0.0,0.0,215.861056,7.962,4,9,247,35,3,6,734384,1540163.53,1507460.69,1550229.22,1540471.24,1521153.23104
